Last login: Sun Aug  5 00:47:17 on ttys000
Quinns-MacBook-Air:~ DrQ$ cd ~/Documents/sports
Quinns-MacBook-Air:sports DrQ$ python fb_play_scraper.py
Year 2010 started at:
--- 0.0001239776611328125 seconds ---
MannPe00 2010 passer 7
MannPe00 2010 passer 19
MannPe00 2010 passer 20
MannPe00 2010 passer 21
BreeDr00 2010 passer 10
BreeDr00 2010 passer 19
BreeDr00 2010 passer 20
BreeDr00 2010 passer 21
BradSa00 2010 passer 9
BradSa00 2010 passer 18
BradSa00 2010 passer 19
BradSa00 2010 passer 20
BradSa00 2010 passer 21
PalmCa00 2010 passer 6
PalmCa00 2010 passer 18
PalmCa00 2010 passer 19
PalmCa00 2010 passer 20
PalmCa00 2010 passer 21
SchaMa00 2010 passer 7
SchaMa00 2010 passer 18
SchaMa00 2010 passer 19
SchaMa00 2010 passer 20
SchaMa00 2010 passer 21
RyanMa00 2010 passer 8
RyanMa00 2010 passer 18
RyanMa00 2010 passer 20
RyanMa00 2010 passer 21
RivePh00 2010 passer 10
RivePh00 2010 passer 18
RivePh00 2010 passer 19
RivePh00 2010 passer 20
RivePh00 2010 passer 21
MannEl00 2010 passer 8
MannEl00 2010 passer 18
MannEl00 2010 passer 19
MannEl00 2010 passer 20
MannEl00 2010 passer 21
SancMa00 2010 passer 7
SancMa00 2010 passer 17
SancMa00 2010 passer 21
OrtoKy00 2010 passer 9
OrtoKy00 2010 passer 15
OrtoKy00 2010 passer 16
OrtoKy00 2010 passer 17
OrtoKy00 2010 passer 18
OrtoKy00 2010 passer 19
OrtoKy00 2010 passer 20
OrtoKy00 2010 passer 21
BradTo00 2010 passer 5
BradTo00 2010 passer 18
BradTo00 2010 passer 20
BradTo00 2010 passer 21
HennCh01 2010 passer 5
HennCh01 2010 passer 11
HennCh01 2010 passer 18
HennCh01 2010 passer 19
HennCh01 2010 passer 20
HennCh01 2010 passer 21
FlacJo00 2010 passer 8
FlacJo00 2010 passer 20
FlacJo00 2010 passer 21
RodgAa00 2010 passer 10
RodgAa00 2010 passer 15
FreeJo00 2010 passer 4
FreeJo00 2010 passer 18
FreeJo00 2010 passer 19
